epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,829.657,1.22212,0.13043,0.03068,0.95816,1.22234,0.86087,0.82668,0.88626,0.5921,0.47841,0.44106,0.47656,0.45612,1.17267,0.19198,0.01076,0.75434,1.09399,0.00050621,0.00050621,0.00050621
78,840.123,1.21466,0.11424,0.02559,0.93585,1.21803,0.88267,0.8237,0.88123,0.59083,0.46967,0.44058,0.47784,0.45765,1.15682,0.18831,0.01054,0.75293,1.08058,0.000486592,0.000486592,0.000486592
79,850.688,1.20802,0.1283,0.02956,0.91822,1.20735,0.87479,0.83669,0.89074,0.60391,0.46983,0.4432,0.47877,0.45703,1.16443,0.19139,0.01084,0.7345,1.0861,0.000467218,0.000467218,0.000467218
80,861.284,1.18758,0.13141,0.02983,0.94971,1.21362,0.90816,0.8201,0.88927,0.60227,0.484,0.43496,0.47729,0.45757,1.16212,0.19347,0.0111,0.74419,1.0917,0.0004481,0.0004481,0.0004481
81,871.717,1.19697,0.12079,0.02816,0.9204,1.20232,0.8697,0.83496,0.88872,0.59849,0.48257,0.43496,0.47931,0.45839,1.15904,0.1866,0.00984,0.72806,1.08211,0.000429253,0.000429253,0.000429253
82,882.107,1.19671,0.12499,0.02661,0.92058,1.20295,0.87193,0.83754,0.8918,0.59898,0.48022,0.44423,0.48339,0.46319,1.15684,0.17413,0.00956,0.73077,1.07984,0.000410687,0.000410687,0.000410687
83,892.453,1.18158,0.11239,0.03062,0.91513,1.19638,0.88322,0.8237,0.88952,0.60063,0.47418,0.44786,0.4821,0.45996,1.13947,0.18184,0.01122,0.74173,1.06919,0.000392418,0.000392418,0.000392418
84,902.875,1.18203,0.11845,0.02673,0.91401,1.20277,0.8845,0.81106,0.87661,0.59211,0.46801,0.44607,0.47479,0.45956,1.13849,0.18003,0.01097,0.73973,1.07195,0.000374456,0.000374456,0.000374456
85,913.252,1.16227,0.12368,0.03451,0.8795,1.1899,0.90031,0.81287,0.8888,0.60232,0.47402,0.44505,0.47954,0.45555,1.13676,0.18017,0.00958,0.73205,1.06647,0.000356815,0.000356815,0.000356815
86,924.044,1.13506,0.11439,0.0286,0.86234,1.16977,0.87159,0.81675,0.89064,0.59586,0.46636,0.44512,0.47887,0.4566,1.14887,0.17641,0.01037,0.7314,1.0741,0.000339506,0.000339506,0.000339506
