epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,2817.74,0.50129,0.00479,0.00337,0.31124,0.8656,0.96866,0.97467,0.99221,0.90861,0.02841,0.02776,0.00072,0.00072,0.40278,0.00297,0.00031,0.23956,0.79681,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
47,2874.19,0.49895,0.00464,0.00301,0.31146,0.86378,0.96852,0.97535,0.99202,0.91024,0.02829,0.02759,0.00072,0.00071,0.40745,0.00276,0.00028,0.23998,0.79577,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
48,2928.38,0.49952,0.00416,0.00315,0.30905,0.8634,0.97441,0.9659,0.99212,0.91501,0.02833,0.02776,0.00071,0.00071,0.39004,0.00274,0.0004,0.23562,0.79219,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
49,2991.4,0.50165,0.00436,0.00336,0.30977,0.86583,0.97074,0.97241,0.99209,0.91346,0.0281,0.02776,0.00071,0.00071,0.4027,0.00275,0.00032,0.23737,0.7945,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
50,3054.94,0.49694,0.0047,0.00378,0.30664,0.86291,0.96927,0.97288,0.99196,0.91201,0.02842,0.02776,0.00071,0.00071,0.39619,0.00252,0.00044,0.23517,0.79314,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
51,3110.19,0.49497,0.00452,0.00326,0.30448,0.86383,0.97386,0.97049,0.99204,0.91418,0.02834,0.02776,0.00071,0.00071,0.38996,0.00252,0.00042,0.23504,0.79276,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,3174.23,0.49153,0.0047,0.00323,0.30326,0.86319,0.97477,0.96678,0.9919,0.91581,0.02838,0.02776,0.00071,0.00071,0.389,0.00263,0.00039,0.23365,0.79254,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
53,3230.46,0.49165,0.00483,0.00326,0.30269,0.86343,0.97261,0.97121,0.99197,0.9169,0.02837,0.02776,0.00071,0.00071,0.3851,0.00273,0.00039,0.23005,0.7923,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
54,3287.57,0.49483,0.0044,0.00366,0.30392,0.86462,0.97057,0.97198,0.99197,0.91729,0.02831,0.02776,0.00071,0.00071,0.38018,0.00262,0.00038,0.22922,0.79197,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
55,3341.54,0.48754,0.00413,0.0034,0.30302,0.86108,0.97344,0.96881,0.99206,0.91613,0.02863,0.02776,0.00072,0.00072,0.38419,0.00252,0.00042,0.22971,0.79176,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
56,3395.99,0.48435,0.00432,0.00305,0.29837,0.86154,0.97264,0.96949,0.99213,0.9157,0.02846,0.02776,0.00072,0.00072,0.38832,0.0025,0.00026,0.22966,0.7916,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
57,3455.92,0.4845,0.00412,0.0028,0.29783,0.86077,0.97098,0.97138,0.99199,0.91538,0.02836,0.02776,0.00072,0.00072,0.38545,0.00251,0.00034,0.22731,0.79029,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
58,3515.87,0.48153,0.00402,0.00277,0.29722,0.86006,0.96678,0.97652,0.99216,0.91589,0.02848,0.02776,0.00072,0.00072,0.38453,0.00251,0.00025,0.22672,0.79043,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
59,3573.83,0.48019,0.00367,0.00265,0.29629,0.85946,0.97033,0.97533,0.99239,0.91738,0.0286,0.02776,0.00072,0.00072,0.37655,0.00258,0.00022,0.22411,0.7903,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
60,3628.21,0.47757,0.00367,0.00301,0.29497,0.85764,0.9699,0.97532,0.99236,0.91956,0.02846,0.02776,0.00072,0.00072,0.37393,0.00254,0.00025,0.22326,0.79026,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789
61,3682.58,0.47682,0.00407,0.00308,0.29461,0.85815,0.9696,0.97412,0.99223,0.9178,0.02834,0.02776,0.00071,0.00071,0.37549,0.0024,0.00026,0.2244,0.78978,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
62,3740.04,0.47319,0.00388,0.00277,0.29163,0.85831,0.9727,0.97395,0.99237,0.91944,0.02859,0.02776,0.00072,0.00072,0.37714,0.00237,0.00026,0.2225,0.79001,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071
63,3795.37,0.47221,0.00378,0.00266,0.29151,0.85734,0.973,0.97155,0.99233,0.91776,0.02834,0.02776,0.00072,0.00072,0.37684,0.00233,0.00023,0.22313,0.79031,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115
64,3850.38,0.4743,0.00337,0.00283,0.2912,0.85824,0.97503,0.97021,0.99237,0.91814,0.02839,0.02776,0.00071,0.00071,0.37499,0.00234,0.00027,0.22034,0.79006,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
65,3905.4,0.46789,0.00348,0.0029,0.28954,0.85614,0.97188,0.97446,0.99228,0.92039,0.0283,0.02776,0.00071,0.00071,0.37116,0.00234,0.00019,0.21968,0.78944,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034
66,3960.89,0.47132,0.00428,0.00297,0.29009,0.85857,0.97291,0.97233,0.99238,0.91983,0.02828,0.02776,0.00071,0.00071,0.37292,0.0024,0.00022,0.21955,0.78922,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
67,4016.78,0.46617,0.00393,0.00271,0.28769,0.8567,0.97045,0.97365,0.99225,0.92031,0.0283,0.02759,0.00072,0.00072,0.37124,0.00233,0.00019,0.22013,0.78916,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
68,4071.27,0.46902,0.00381,0.00275,0.28859,0.85826,0.96895,0.97515,0.99229,0.92028,0.02846,0.02776,0.00072,0.00072,0.3724,0.0023,0.00024,0.22028,0.78973,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551
69,4127.27,0.46814,0.00325,0.0029,0.28733,0.85734,0.97379,0.97258,0.99231,0.91961,0.02848,0.02776,0.00072,0.00072,0.37541,0.00228,0.00023,0.22027,0.79004,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311
70,4181.42,0.4609,0.00357,0.0024,0.284,0.85517,0.97528,0.97001,0.99229,0.91984,0.0285,0.02776,0.00072,0.00072,0.37318,0.00228,0.00025,0.21967,0.78955,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
71,4235.9,0.46409,0.00401,0.00268,0.28484,0.8559,0.97175,0.97326,0.99236,0.92112,0.02839,0.02776,0.00072,0.00072,0.36976,0.00228,0.00024,0.2191,0.78948,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
72,4290.16,0.46086,0.00357,0.00268,0.28367,0.85647,0.97131,0.97566,0.99237,0.9212,0.02841,0.02776,0.00072,0.00072,0.36779,0.00229,0.00023,0.21779,0.78889,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421
73,4348.95,0.46307,0.00365,0.00277,0.28464,0.85621,0.97157,0.97464,0.99228,0.92127,0.02844,0.02776,0.00072,0.00072,0.36843,0.00229,0.00023,0.21882,0.78871,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
74,4407.63,0.4556,0.00348,0.00271,0.28039,0.853,0.9718,0.97434,0.99224,0.92126,0.02851,0.02776,0.00072,0.00072,0.3676,0.00221,0.00023,0.2187,0.78842,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728
75,4466.37,0.45441,0.00322,0.00225,0.27895,0.85528,0.97245,0.97383,0.9923,0.92157,0.02844,0.02776,0.00072,0.00072,0.36707,0.00216,0.00019,0.21783,0.78834,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366
76,4526.43,0.45404,0.00305,0.00228,0.27717,0.85498,0.97208,0.97429,0.99238,0.92167,0.02843,0.02776,0.00071,0.00071,0.36725,0.00222,0.0002,0.21727,0.7881,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,4585.61,0.45171,0.00332,0.00255,0.27663,0.85381,0.97196,0.97414,0.99238,0.92365,0.02847,0.02776,0.00072,0.00072,0.36453,0.00218,0.00022,0.21605,0.78796,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634
78,4644.22,0.45226,0.00283,0.00254,0.27834,0.85539,0.97099,0.97529,0.99237,0.92214,0.02845,0.02776,0.00072,0.00072,0.36443,0.00216,0.00023,0.21622,0.78777,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272
79,4702.74,0.4508,0.00292,0.00238,0.27602,0.85294,0.97017,0.97669,0.99237,0.9228,0.02844,0.02776,0.00072,0.00072,0.36582,0.00214,0.00023,0.21551,0.78794,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
