epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,3789.67,0.47177,0,0,0.29383,0.85675,0.97396,0.96579,0.99198,0.91617,0,0,0,0,0.36153,0,8e-05,0.2208,0.78574,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
51,3840.95,0.4673,0,0,0.29174,0.85648,0.96689,0.96985,0.99185,0.91935,0,0,0,0,0.35563,0,8e-05,0.22116,0.78586,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,3895.77,0.46909,0,0,0.29363,0.85768,0.9699,0.9659,0.99186,0.91526,0,0,0,0,0.37629,0,0.0005,0.22091,0.78708,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
53,3947.49,0.47129,0,0,0.29244,0.85814,0.96808,0.96896,0.99188,0.91589,0,0,0,0,0.37109,0,0.00015,0.21922,0.78609,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
54,3999.88,0.46992,0,1e-05,0.29322,0.85885,0.96535,0.96967,0.99134,0.91535,0,0,0,0,0.37148,0,0.00017,0.21922,0.78665,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
55,4052.59,0.4665,0,1e-05,0.28974,0.85736,0.97433,0.96377,0.99194,0.91856,0,0,0,0,0.35902,0,0.0003,0.2142,0.78504,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
56,4107.7,0.46456,0,0,0.28923,0.856,0.96845,0.96876,0.99182,0.9189,0,0,0,0,0.35667,0,0.00013,0.21414,0.78408,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
57,4164.85,0.46145,0,0,0.28729,0.85606,0.96744,0.97073,0.99212,0.91933,0,0,0,0,0.36493,0,0.00019,0.21663,0.78504,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
58,4217.1,0.45911,0,0,0.28529,0.85605,0.97087,0.96808,0.9913,0.91752,0,0,0,0,0.36515,0,1e-05,0.21476,0.78584,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
59,4268.63,0.46123,0,0,0.28731,0.85686,0.96915,0.96914,0.99176,0.9193,0,0,0,0,0.36213,0,0,0.2132,0.785,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
60,4323.13,0.45605,0,0,0.28521,0.85428,0.97195,0.96791,0.99188,0.91962,0,0,0,0,0.35767,0,0,0.2128,0.78431,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789
61,4375.11,0.45257,0,1e-05,0.28081,0.85392,0.97202,0.96782,0.99185,0.92086,0,0,0,0,0.35525,0,0.00023,0.21024,0.78469,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
62,4426.63,0.45478,0,0,0.28194,0.85543,0.97038,0.97067,0.99204,0.9214,0,0,0,0,0.35309,0,0,0.20952,0.78388,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071
63,4480.68,0.45363,0,0,0.28163,0.85686,0.96943,0.97161,0.99215,0.92081,0,0,0,0,0.35126,0,9e-05,0.21039,0.78422,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115
64,4529.99,0.45344,0,0,0.28068,0.85276,0.96674,0.97379,0.99212,0.9224,0,0,0,0,0.34597,0,0.00032,0.20757,0.78367,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
65,4587.51,0.44846,0,0,0.27744,0.85228,0.96813,0.97161,0.9919,0.92179,0,0,0,0,0.34303,0,0.00055,0.2074,0.78245,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034
66,4642.44,0.44779,0,0,0.27839,0.85396,0.96918,0.97025,0.99214,0.92151,0,0,0,0,0.3475,0,0.00042,0.207,0.78273,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
67,4700.44,0.4495,0,0,0.27877,0.8523,0.97126,0.97142,0.99209,0.92177,0,0,0,0,0.34374,0,0.0004,0.20466,0.78219,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
68,4754.58,0.44912,0,0,0.27874,0.85247,0.96875,0.97303,0.99206,0.92296,0,0,0,0,0.34756,0,0.00018,0.20594,0.7828,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551
69,4809.02,0.44815,0,0,0.27724,0.85424,0.97006,0.97196,0.99193,0.92294,0,0,0,0,0.3467,0,1e-05,0.20592,0.7828,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311
70,4863.43,0.44234,0,4e-05,0.27512,0.85115,0.96971,0.97091,0.99205,0.92093,0,0,0,0,0.35164,0,0,0.20787,0.7836,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
71,4919.78,0.44253,0,0,0.27425,0.85222,0.96867,0.97284,0.99204,0.9215,0,0,0,0,0.34719,0,0,0.20533,0.78256,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
72,4973.98,0.43883,0,0,0.27262,0.85113,0.96841,0.97289,0.9923,0.92098,0,0,0,0,0.34743,0,0,0.20554,0.78288,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421
73,5030.86,0.43259,0,0,0.2702,0.85017,0.97021,0.97046,0.99235,0.92212,0,0,0,0,0.34852,0,0,0.20553,0.78213,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
74,5083.24,0.43831,0,0,0.2712,0.84934,0.97019,0.97249,0.99228,0.9231,0,0,0,0,0.34493,0,0,0.20348,0.78197,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728
75,5135.47,0.43561,0,0,0.26811,0.8493,0.97106,0.97021,0.99229,0.92248,0,0,0,0,0.3451,0,0,0.2018,0.78224,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366
76,5187.33,0.43477,0,0,0.2696,0.84882,0.97008,0.97206,0.99234,0.92291,0,0,0,0,0.34146,0,0,0.20072,0.78213,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,5240.39,0.43027,0,0,0.26704,0.84943,0.96912,0.97388,0.99237,0.9242,0,0,0,0,0.33899,0,0,0.201,0.78208,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634
78,5294.22,0.43155,0,2e-05,0.26813,0.84883,0.96797,0.9751,0.99236,0.92554,0,0,0,0,0.33644,0,0,0.20004,0.78204,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272
79,5344.01,0.43268,0,0,0.26736,0.84996,0.96959,0.97284,0.99231,0.92548,0,0,0,0,0.33635,0,0,0.19929,0.78222,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
80,5398.02,0.43009,0,1e-05,0.26601,0.84958,0.97027,0.97263,0.99243,0.92561,0,0,0,0,0.33666,0,0,0.19896,0.78217,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579
81,5452.66,0.42493,0,2e-05,0.26362,0.84641,0.96959,0.97273,0.99237,0.92553,0,0,0,0,0.33572,0,0,0.19763,0.7819,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
82,5507.13,0.42297,0,0,0.26256,0.84538,0.96977,0.97305,0.99239,0.92598,0,0,0,0,0.33441,0,0,0.19766,0.78135,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
83,5560.45,0.42353,0,0,0.26019,0.84659,0.97008,0.97302,0.99242,0.92745,0,0,0,0,0.33411,0,0,0.19715,0.78098,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689
84,5611.2,0.42171,0,1e-05,0.26088,0.84744,0.97247,0.97038,0.99244,0.92677,0,0,0,0,0.33424,0,0,0.19699,0.78099,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449
85,5664.29,0.42243,0,1e-05,0.26021,0.84636,0.97242,0.96978,0.99245,0.92673,0,0,0,0,0.33324,0,0,0.19664,0.78058,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
86,5716.79,0.41968,0,1e-05,0.25955,0.84566,0.96995,0.97316,0.99246,0.92698,0,0,0,0,0.33234,0,0,0.19588,0.78029,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
87,5768.31,0.4183,0,0,0.25673,0.84543,0.97062,0.9729,0.99247,0.92708,0,0,0,0,0.33143,0,0,0.19546,0.78006,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966
88,5817.69,0.41743,0,0,0.2569,0.84408,0.97165,0.97179,0.9925,0.92772,0,0,0,0,0.33171,0,0,0.19551,0.77995,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
89,5867.08,0.41497,0,4e-05,0.25607,0.84527,0.97157,0.97161,0.99245,0.92758,0,0,0,0,0.33206,0,0,0.19561,0.78007,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885
90,5918.88,0.41609,0,0,0.25659,0.844,0.97194,0.9709,0.99245,0.92683,0,0,0,0,0.33285,0,0,0.1956,0.78015,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929
91,5970.55,0.41347,0,0,0.25411,0.84364,0.97205,0.97002,0.99248,0.92696,0,0,0,0,0.33276,0,0,0.19486,0.78002,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
92,6020.43,0.41022,0,0,0.25494,0.84477,0.97208,0.96999,0.99244,0.92713,0,0,0,0,0.33201,0,0,0.19451,0.77983,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211
93,6072.62,0.4108,0,0,0.25167,0.84383,0.97264,0.96896,0.9924,0.92693,0,0,0,0,0.33142,0,0,0.19378,0.77983,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457
94,6127.26,0.409,0,0,0.25164,0.84419,0.97273,0.96866,0.99241,0.92718,0,0,0,0,0.3312,0,0,0.19355,0.77978,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
