epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,2238.34,0.679,0.06454,0.13696,0.47074,0.95077,0.96052,0.91292,0.9752,0.87776,0.00564,0.0072,0.00087,0.0008,0.509,0.01901,0.00904,0.3822,0.86233,0.0083622,0.0083622,0.0083622
42,2289.51,0.67733,0.06094,0.12695,0.46755,0.95045,0.95734,0.91843,0.97656,0.87332,0.0056,0.00742,0.00087,0.0008,0.52961,0.02241,0.00479,0.3836,0.86527,0.00828443,0.00828443,0.00828443
43,2340.62,0.67338,0.06032,0.12418,0.46581,0.94838,0.95563,0.92013,0.97745,0.87751,0.00642,0.00784,0.0008,0.00078,0.51075,0.01089,0.00307,0.37649,0.8589,0.00820525,0.00820525,0.00820525
44,2392.01,0.67343,0.06191,0.1353,0.46314,0.94736,0.95155,0.92368,0.97588,0.87384,0.00665,0.00805,0.00087,0.00083,0.51828,0.01261,0.00556,0.37906,0.86354,0.00812468,0.00812468,0.00812468
45,2443.1,0.66538,0.06097,0.12709,0.45713,0.94739,0.95162,0.92691,0.97686,0.87432,0.00699,0.00805,0.00085,0.00081,0.52379,0.01355,0.00368,0.37248,0.86244,0.00804277,0.00804277,0.00804277
46,2493.77,0.66453,0.06572,0.11581,0.45598,0.94496,0.95209,0.92564,0.97858,0.87534,0.00605,0.00784,0.00087,0.00081,0.52524,0.01023,0.00405,0.37313,0.86413,0.00795954,0.00795954,0.00795954
47,2544.14,0.66007,0.05924,0.1264,0.45481,0.94386,0.95563,0.92712,0.97909,0.87801,0.00586,0.00742,0.00089,0.00085,0.51581,0.02078,0.00585,0.36495,0.85971,0.00787503,0.00787503,0.00787503
48,2594.78,0.65652,0.05489,0.12573,0.45087,0.94217,0.95749,0.92119,0.97879,0.87894,0.00594,0.00763,0.00089,0.00083,0.50721,0.01337,0.00428,0.36761,0.85789,0.00778929,0.00778929,0.00778929
49,2645.64,0.65965,0.05059,0.09994,0.45399,0.944,0.95677,0.91914,0.97785,0.87517,0.00559,0.0072,0.00084,0.00078,0.51661,0.01423,0.00646,0.36856,0.85775,0.00770234,0.00770234,0.00770234
50,2697,0.65556,0.05652,0.11044,0.45197,0.9449,0.95161,0.92499,0.97719,0.87533,0.00601,0.00763,0.00086,0.00081,0.51968,0.01343,0.00556,0.3663,0.86083,0.00761423,0.00761423,0.00761423
51,2748.19,0.64978,0.0565,0.11417,0.44769,0.93995,0.94891,0.9322,0.97944,0.87974,0.00608,0.00784,0.00083,0.00079,0.50246,0.01659,0.00924,0.35929,0.85693,0.007525,0.007525,0.007525
